track_name,artist_name,album_name,duration_s,release_date,popularity,explicit,track_id,artist_id,artist_popularity,followers,genres,colab
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,206.627,2024-12-26,65,False,1OSOHTBFkIkhUtxhOyUksc,4q3ewBCX7sLwd24euuV69X,100,94364002,"reggaeton, trap latino, urbano latino, latin",False
Terciopelo,Natos y Waor,Terciopelo,133.902,2017-03-17,0,False,4CH72zq6gOXhJ1hUBNN44C,1QJbbsxg2wqidJj51d3otw,65,859707,,False
Un Plan,"Dímelo Flow, Zion & Lennox, Beéle, Jerry Di",Always Dream,204.146,2022-06-09,27,True,7EVHycoVDOkaE6Pp6iih0U,3fZk3Gm5dN5v5yfYMQ04Bx,70,573351,"reggaeton, urbano latino",True
PASAJERO,Mora,ESTRELLA,149.538,2023-08-28,66,False,1uFAI2C6r3YBQmXCAPGzZv,0Q8NcsJwoCbZOHHW63su5S,81,7154775,"urbano latino, trap latino, reggaeton",False
Shooters,"Israel B, LOWLIGHT",Shooters,129.75,2020-10-29,42,True,6qHXLPDtdIadgxiXHz3KTz,16M8fuShcwX8uBDdmFZH9B,55,82608,,True
Fronting,"L.MUXIX, Lyanno",Fronting,113.451,2021-04-26,0,True,0js4vtZkuXHW1IYY3hUG36,49H7Ohi3WgKvOWRf2Wnt2D,2,26,dembow,True
Los Dioses,"Anuel AA, Ozuna",Los Dioses,278.28,2021-01-21,0,True,770EsvNdHAr56fPBhZxUH6,2R21vXR83lH98kGeO99Y66,89,41728732,"reggaeton, trap latino, urbano latino, latin",True
Travesuras,"Flow La Movie, Nio Garcia, Casper Magico",Travesuras,204.18,2020-11-05,53,True,2etJ67Egf7woMgOikVrlJM,2oT7xd9iTO2ejLsNGIMa5f,53,25134,reggaeton,True
Estrés Postraumático,Anuel AA,Emmanuel,257.017,2020-05-29,55,True,3QNh1pSglpiumBHtU8XnQe,2R21vXR83lH98kGeO99Y66,89,41728732,"reggaeton, trap latino, urbano latino, latin",False
LA CALMA,"Gonzy, Oliver Kid",LA CALMA,161.546,2023-05-23,45,True,7qhycO2o68HOGl1vMCWIes,4ixNZvQuuzCDxBsxO9zE6L,62,138024,,True
Mera Bebe,Bryant Myers,Mera Bebe,194.815,2016-10-15,61,False,6rj1soar7oFauipD9gQK9K,6w9ToX5slZ4uIdmD17hJ3c,84,12527556,"trap latino, reggaeton, trap, urbano latino, dembow",False
Entre Nosotros,"Tiago PZK, LIT killah",Entre Nosotros,192.352,2021-07-08,66,False,6w8yBI2vthyN9UnwO4UBWb,5Y3MV9DZ0d87NnVm56qSY1,78,5726238,"argentine trap, urbano latino",True
Dónde Estás?,"Reality, Totoy El Frio",Igual Que Nadie,187.755,2024-04-18,30,True,53eX24kP6YZ9hkdBNj2QLG,0FvRr7kKHIwQJxpRwf5OCw,54,83873,,True
