iter	RMSE
0	23.45895394
1	22.33319094
2	21.2372142
3	20.23215231
4	19.32034107
5	18.42046169
6	17.58077883
7	16.75271542
8	15.97475143
9	15.2540206
10	14.55750322
11	13.85290968
12	13.17675547
13	12.53960197
14	11.94343785
15	11.36943433
16	10.84598081
17	10.32884196
18	9.846105572
19	9.368862487
20	8.945057285
21	8.52800108
22	8.138768642
23	7.758186749
24	7.396150973
25	7.064443686
26	6.731215241
27	6.415094766
28	6.12515262
29	5.849575058
30	5.580571951
31	5.318898528
32	5.072686452
33	4.835700672
34	4.607488268
35	4.399137593
36	4.195836952
37	4.005217701
38	3.822897266
39	3.649123067
40	3.482660438
41	3.334077526
42	3.182080774
43	3.049728264
44	2.917058143
45	2.793342836
46	2.670134855
47	2.553398283
48	2.450638143
49	2.343929381
50	2.251200842
51	2.151358348
52	2.059964874
53	1.976110446
54	1.896069725
55	1.824195938
56	1.750553132
57	1.679660011
58	1.612447142
59	1.549364608
60	1.488748394
61	1.429335094
62	1.374379006
63	1.323745293
64	1.27660116
65	1.229703148
66	1.183291629
67	1.140388667
68	1.100848305
69	1.0628646
70	1.027445066
71	0.9938004685
72	0.9612520529
73	0.9318820822
74	0.9024918675
75	0.8739138125
76	0.846042829
77	0.8211602547
78	0.7972520849
79	0.7747422066
80	0.7537368687
81	0.7349780967
82	0.7171936362
83	0.700948367
84	0.6818087895
85	0.6670019982
86	0.6514231459
87	0.6368476613
88	0.6239208905
89	0.6105648716
90	0.59763312
91	0.5871490311
92	0.5762984135
93	0.5670571977
94	0.5573253074
95	0.5490665243
96	0.5395719716
97	0.5305913621
98	0.5233869806
99	0.5157773735
100	0.5095387269
101	0.5029538333
102	0.497109456
103	0.4925163886
104	0.48597547
105	0.4814657782
106	0.4749412794
107	0.4708014837
108	0.4666069796
109	0.463562584
110	0.4603576896
111	0.4544653722
112	0.4516003794
113	0.4484101215
114	0.4441554463
115	0.4416596902
116	0.4371798656
117	0.4334178736
118	0.4302448861
119	0.4274752182
120	0.4230759853
121	0.4193785496
122	0.4178248354
123	0.4144244883
124	0.4106445642
125	0.4071448774
126	0.405012891
127	0.4031317288
128	0.3999150575
129	0.3963008576
130	0.3934696025
131	0.3918378265
132	0.3902260935
133	0.3877824773
134	0.3865064476
135	0.3844039426
136	0.3834025247
137	0.3799881013
138	0.3783035384
139	0.3780818696
140	0.3775241137
141	0.374942694
142	0.3737391414
143	0.3716643748
144	0.3712543905
145	0.3686093301
146	0.3649664562
147	0.3647275117
148	0.3638681312
149	0.3631868514
150	0.3628333812
151	0.3601660319
152	0.3594039985
153	0.3577587921
154	0.3558326983
155	0.3539793828
156	0.3534381023
157	0.3514507619
158	0.3513425809
159	0.3506093909
160	0.3503150965
161	0.3500789979
162	0.3472394233
163	0.3448741655
164	0.34289858
165	0.3425708218
166	0.3419651781
167	0.3410472675
168	0.3407555726
169	0.3402941455
170	0.3400964216
171	0.3395296524
172	0.3392725144
173	0.3390730723
174	0.3386385753
175	0.3379631954
176	0.3359786644
177	0.3357563068
178	0.3356363838
179	0.3352316729
180	0.3348978894
181	0.3347349023
182	0.3328000631
183	0.3325235312
184	0.3320224095
185	0.3295745224
186	0.3279229654
187	0.3276878825
188	0.3275195563
189	0.3272151656
190	0.3269619135
191	0.3250465196
192	0.3237298751
193	0.3234648186
194	0.3225788763
195	0.3223052721
196	0.3221263982
197	0.3206250978
198	0.3190986925
199	0.3179808021
200	0.3168502563
201	0.3165603704
202	0.3148956963
203	0.3143345964
204	0.3128369639
205	0.3112419667
206	0.310513634
207	0.3089058815
208	0.3074081574
209	0.3059905669
210	0.3051860667
211	0.303669148
212	0.3024493443
213	0.3013890065
214	0.3000884713
215	0.2986954146
216	0.2974858633
217	0.2961466814
218	0.293816462
219	0.2924338575
220	0.2911611881
221	0.290534745
222	0.2886117099
223	0.28719153
224	0.2864652877
225	0.2857395097
226	0.2844521564
227	0.2834209675
228	0.2823981406
229	0.2817903553
230	0.2806938251
231	0.2796708865
232	0.2790592062
233	0.2781213777
234	0.277073254
235	0.2762531189
236	0.2752967605
237	0.2744357104
238	0.2737194714
239	0.2729212161
240	0.2719079416
241	0.2717881738
242	0.2717355544
243	0.2706651627
244	0.2687605651
245	0.268128071
246	0.2679216134
247	0.2668557228
248	0.2650072577
249	0.2649571425
250	0.2641118947
251	0.2635719817
252	0.2634524065
253	0.2628628941
254	0.2621921223
255	0.2605536522
256	0.258969633
257	0.2582097836
258	0.2580946404
259	0.2574674399
260	0.2574211348
261	0.2568109248
262	0.2562807866
263	0.2561793475
264	0.2554507786
265	0.2553735969
266	0.2552965276
267	0.2552124561
268	0.2545851024
269	0.2529588536
270	0.2521371514
271	0.2520564492
272	0.2513267216
273	0.2508689393
274	0.2503671864
275	0.2499101261
276	0.2487160825
277	0.2471668729
278	0.2470814657
279	0.246199409
280	0.2455498869
281	0.2447346834
282	0.2444404547
283	0.2432131311
284	0.2424933897
285	0.2423498667
286	0.2416816773
287	0.2411774419
288	0.2411121449
289	0.2410286895
290	0.2403417153
291	0.2402785828
292	0.239708394
293	0.2383686788
294	0.2378102571
295	0.2377425866
296	0.2373165035
297	0.2368398876
298	0.2362799264
299	0.2356865455
300	0.2352101484
301	0.233717625
302	0.2325368136
303	0.2319917984
304	0.2318217932
305	0.2308661108
306	0.2303455064
307	0.230308545
308	0.2302582801
309	0.230216629
310	0.2298501236
311	0.228600946
312	0.2285523184
313	0.2278920747
314	0.227326785
315	0.2264525392
316	0.2263787643
317	0.2263380673
318	0.225885031
319	0.2250724527
320	0.2245981975
321	0.2243543676
322	0.2239362541
323	0.2235460939
324	0.2229232373
325	0.2223831036
326	0.2223476605
327	0.2212447234
328	0.2212060475
329	0.2211545829
330	0.2204876161
331	0.2199399668
332	0.2188035854
333	0.2183899898
334	0.2183357221
335	0.2175972408
336	0.2170147319
337	0.2164202657
338	0.2161900988
339	0.2155131636
340	0.2148109729
341	0.2147738332
342	0.2147414876
343	0.2142786888
344	0.2134227684
345	0.2128412752
346	0.2127147249
347	0.212679671
348	0.2125600747
349	0.211943016
350	0.2108790244
351	0.2105804298
352	0.2095950301
353	0.2089155225
354	0.2084605739
355	0.2084280355
356	0.2082323587
357	0.2081132909
358	0.2075832434
359	0.2072018104
360	0.2063326915
361	0.2059321667
362	0.2059020198
363	0.2058777524
364	0.2049039342
365	0.2043873016
366	0.2039157947
367	0.2038858946
368	0.2038542782
369	0.2033580068
370	0.2031016448
371	0.2030787855
372	0.2030565246
373	0.2026250434
374	0.2021713689
375	0.2015609043
376	0.2011087456
377	0.2001553268
378	0.1996948147
379	0.1996069171
380	0.1988726568
381	0.1981508839
382	0.1976191721
383	0.1970095984
384	0.1965834472
385	0.1960982995
386	0.1960016468
387	0.1957067793
388	0.1956776878
389	0.1955907124
390	0.1955287255
391	0.1950304906
392	0.1943370669
393	0.1938383848
394	0.193814659
395	0.193256443
396	0.1931918172
397	0.1929047898
398	0.1926701709
399	0.1922760378
400	0.1916684556
401	0.1915765219
402	0.1912419049
403	0.1911153106
404	0.1907111303
405	0.1897121574
406	0.1894742743
407	0.1890962912
408	0.188801161
409	0.188774945
410	0.1886746929
411	0.1880796623
412	0.187627066
413	0.1872514231
414	0.1872295938
415	0.1866651269
416	0.1866440394
417	0.1866315516
418	0.1862375696
419	0.1861096706
420	0.1857221336
421	0.1849110929
422	0.1842751632
423	0.1839290718
424	0.1835575634
425	0.1833022593
426	0.1830656753
427	0.1827723697
428	0.1821847939
429	0.181845888
430	0.1817038501
431	0.1812822278
432	0.1806346352
433	0.1806157935
434	0.180598119
435	0.1803926718
436	0.1799796929
437	0.1799564215
438	0.1797016047
