iter	Passed	Remaining
0	1	1691
1	3	1894
2	5	1902
3	7	1783
4	8	1722
5	10	1673
6	11	1656
7	13	1628
8	14	1607
9	16	1588
10	17	1569
11	18	1562
12	21	1610
13	22	1600
14	24	1595
15	25	1580
16	27	1569
17	28	1559
18	30	1549
19	31	1542
20	32	1533
21	34	1526
22	36	1564
23	38	1558
24	39	1549
25	41	1542
26	42	1536
27	44	1530
28	45	1524
29	46	1517
30	48	1512
31	49	1507
32	52	1541
33	54	1544
34	55	1542
35	57	1540
36	59	1540
37	60	1537
38	62	1531
39	63	1525
40	65	1520
41	66	1520
42	68	1531
43	70	1526
44	71	1521
45	73	1517
46	74	1512
47	76	1508
48	77	1504
49	79	1501
50	80	1498
51	81	1494
52	84	1506
53	85	1502
54	87	1504
55	89	1501
56	90	1497
57	91	1492
58	93	1488
59	94	1484
60	96	1480
61	97	1475
62	99	1482
63	101	1484
64	103	1483
65	104	1479
66	106	1476
67	107	1473
68	108	1469
69	110	1465
70	111	1463
71	113	1459
72	115	1461
73	116	1463
74	118	1460
75	119	1457
76	121	1453
77	122	1450
78	124	1447
79	125	1445
80	127	1441
81	128	1438
82	129	1435
83	132	1446
84	134	1445
85	135	1443
86	137	1440
87	138	1437
88	140	1434
89	141	1431
90	142	1428
91	144	1424
92	147	1439
93	149	1438
94	150	1436
95	152	1438
96	154	1435
97	155	1433
98	157	1430
99	158	1427
100	159	1423
101	162	1427
102	163	1427
103	165	1424
104	166	1422
105	168	1418
106	169	1416
107	171	1412
108	172	1410
109	173	1407
110	175	1405
111	177	1407
112	179	1407
113	180	1404
114	182	1403
115	183	1401
116	185	1398
117	186	1395
118	188	1393
119	189	1390
120	191	1387
121	192	1385
122	194	1387
123	196	1385
124	197	1383
125	199	1380
126	200	1378
127	202	1376
128	203	1373
129	204	1371
130	206	1369
131	207	1366
132	210	1369
133	212	1370
134	213	1368
135	215	1366
136	216	1363
137	217	1361
138	219	1358
139	220	1356
140	222	1353
141	223	1351
142	226	1356
143	227	1354
144	229	1351
145	230	1349
146	232	1347
147	233	1344
148	235	1342
149	236	1339
150	237	1337
151	239	1334
152	241	1338
153	243	1338
154	245	1336
155	247	1336
156	248	1333
157	249	1331
158	251	1328
159	252	1326
